sep=,
TF,Feature,SingleStepN,Deep45N,SingleStepMean,Deep45Mean,DeepMinusSingle
M1,RSI,1894,431,49.51534894,49.28817450,-0.22717444
M1,ATR,1894,431,0.68064982,0.35171404,-0.32893578
M1,ADX,1894,431,28.63040033,28.41627162,-0.21412870
M1,CCI,1894,431,33.04422205,39.25534214,6.21112009
M1,DI_Gap,1894,431,6.21815054,7.13751368,0.91936314
M1,EMA200_Dist_ATR,1894,431,-0.78398190,-1.22667900,-0.44269710
M1,EMA_Compression,1894,431,4.88898981,5.52440997,0.63542017
M5,RSI,1894,431,47.99762428,47.41565480,-0.58196948
M5,ATR,1894,431,1.70708514,0.95237297,-0.75471217
M5,ADX,1894,431,32.62596671,31.67002373,-0.95594299
M5,CCI,1894,431,-28.26542739,-35.23455873,-6.96913133
M5,DI_Gap,1894,431,12.67869945,11.84469550,-0.83400395
M5,EMA200_Dist_ATR,1894,431,0.48987029,0.02494842,-0.46492187
M5,EMA_Compression,1894,431,4.33891695,5.36929784,1.03038090
M15,RSI,1892,431,49.57499781,48.77180831,-0.80318950
M15,ATR,1892,431,3.02482875,1.72346694,-1.30136182
M15,ADX,1892,431,29.79410168,28.67084365,-1.12325803
M15,CCI,1892,431,-24.19008094,-29.21842256,-5.02834163
M15,DI_Gap,1892,431,11.53438003,10.49289168,-1.04148835
M15,EMA200_Dist_ATR,1892,431,0.87920373,0.33800068,-0.54120305
M15,EMA_Compression,1892,431,4.35871077,5.25770832,0.89899754
M30,RSI,1892,430,50.58512810,49.33397887,-1.25114923
M30,ATR,1892,430,4.34873018,2.58873140,-1.75999878
M30,ADX,1892,430,29.82069522,28.42428795,-1.39640727
M30,CCI,1892,430,-13.10992064,-17.34389380,-4.23397317
M30,DI_Gap,1892,430,10.64978620,9.83592347,-0.81386273
M30,EMA200_Dist_ATR,1892,430,1.00208161,0.26272724,-0.73935438
M30,EMA_Compression,1892,430,4.10031098,4.85661524,0.75630426
H1,RSI,1890,430,51.23948197,49.62442985,-1.61505211
H1,ATR,1890,430,6.21612698,3.88696337,-2.32916361
H1,ADX,1890,430,29.95865212,28.24317555,-1.71547657
H1,CCI,1890,430,-1.09292652,-7.46730732,-6.37438080
H1,DI_Gap,1890,430,10.31377201,9.59962478,-0.71414723
H1,EMA200_Dist_ATR,1890,430,1.06153401,0.27470726,-0.78682675
H1,EMA_Compression,1890,430,3.91499546,4.53804435,0.62304889
H4,RSI,1876,429,51.90239931,50.37928904,-1.52311026
H4,ATR,1876,429,11.57133782,7.86870862,-3.70262920
H4,ADX,1876,429,29.94600384,29.32185018,-0.62415366
H4,CCI,1876,429,12.47597997,-0.25318790,-12.72916787
H4,DI_Gap,1876,429,10.72429809,10.27357762,-0.45072047
H4,EMA200_Dist_ATR,1876,429,1.42108843,0.73729420,-0.68379423
H4,EMA_Compression,1876,429,4.23102608,4.40763047,0.17660439
