Direction,TF,Feature,Outcome,N_total,N_complete,N_missing,N_zero,Median,Q1,Q3,IQR,Min,Max
BUY,M1,RSI,STOP,75,75,0,0,48.082976,45.319054,52.967942,7.648887,23.249235,80.813131
BUY,M1,RSI,NON-STOP,3538,3538,0,0,48.036566,43.382614,52.560169,9.177555,20.568392,91.246668
BUY,M1,RSI,TARGET,3255,3255,0,0,48.000674,43.360142,52.463182,9.103040,20.568392,91.246668
BUY,M1,RSI,BE,282,282,0,0,48.381432,43.494334,53.052585,9.558250,27.569147,84.948774
BUY,M1,RSI,OTHER_NONSTOP,1,1,0,0,53.333608,53.333608,53.333608,0.000000,53.333608,53.333608
BUY,M1,ADX,STOP,75,75,0,0,24.396298,18.857296,36.293516,17.436220,14.156034,60.157599
BUY,M1,ADX,NON-STOP,3538,3538,0,0,27.676040,21.593160,36.728952,15.135792,10.660250,81.718527
BUY,M1,ADX,TARGET,3255,3255,0,0,27.750164,21.705608,36.725406,15.019797,10.660250,81.718527
BUY,M1,ADX,BE,282,282,0,0,27.035835,20.510037,36.721836,16.211798,11.402362,68.868585
BUY,M1,ADX,OTHER_NONSTOP,1,1,0,0,17.304945,17.304945,17.304945,0.000000,17.304945,17.304945
BUY,M1,DIPlus,STOP,75,75,0,0,21.914169,16.780302,25.667246,8.886944,8.598275,37.996985
BUY,M1,DIPlus,NON-STOP,3538,3538,0,0,20.807324,16.883897,25.353260,8.469363,3.251259,52.964044
BUY,M1,DIPlus,TARGET,3255,3255,0,0,20.730797,16.774562,25.120648,8.346086,3.251259,52.964044
BUY,M1,DIPlus,BE,282,282,0,0,21.888080,18.044441,26.924140,8.879698,10.416350,45.726824
BUY,M1,DIPlus,OTHER_NONSTOP,1,1,0,0,25.470007,25.470007,25.470007,0.000000,25.470007,25.470007
BUY,M1,DIMinus,STOP,75,75,0,0,19.648666,16.173668,22.028248,5.854580,7.370631,29.762626
BUY,M1,DIMinus,NON-STOP,3538,3538,0,0,19.923760,16.503257,23.427124,6.923866,0.974258,40.728664
BUY,M1,DIMinus,TARGET,3255,3255,0,0,19.954292,16.583632,23.450794,6.867162,2.565902,40.728664
BUY,M1,DIMinus,BE,282,282,0,0,19.536740,15.986630,22.928176,6.941546,0.974258,39.682921
BUY,M1,DIMinus,OTHER_NONSTOP,1,1,0,0,17.009250,17.009250,17.009250,0.000000,17.009250,17.009250
BUY,M1,DIGap,STOP,75,75,0,0,5.463678,3.113817,9.703852,6.590035,0.236407,30.626354
BUY,M1,DIGap,NON-STOP,3538,3538,0,0,5.791745,2.723245,9.849410,7.126165,0.005854,46.101602
BUY,M1,DIGap,TARGET,3255,3255,0,0,5.756213,2.696026,9.759895,7.063870,0.005854,46.101602
BUY,M1,DIGap,BE,282,282,0,0,5.942620,3.058716,11.502551,8.443836,0.053401,44.620798
BUY,M1,DIGap,OTHER_NONSTOP,1,1,0,0,8.460756,8.460756,8.460756,0.000000,8.460756,8.460756
BUY,M1,ATR,STOP,75,75,0,0,0.940000,0.380000,2.185000,1.805000,0.120000,11.940000
BUY,M1,ATR,NON-STOP,3538,3538,0,0,0.460000,0.280000,0.840000,0.560000,0.030000,20.230000
BUY,M1,ATR,TARGET,3255,3255,0,0,0.480000,0.290000,0.890000,0.600000,0.050000,20.230000
BUY,M1,ATR,BE,282,282,0,0,0.290000,0.160000,0.437500,0.277500,0.030000,1.850000
BUY,M1,ATR,OTHER_NONSTOP,1,1,0,0,4.420000,4.420000,4.420000,0.000000,4.420000,4.420000
BUY,M1,CCI,STOP,75,75,0,0,22.709168,-16.527962,93.303304,109.831267,-75.436810,456.122113
BUY,M1,CCI,NON-STOP,3538,3538,0,0,26.691095,-27.106900,101.471152,128.578052,-127.250420,459.840881
BUY,M1,CCI,TARGET,3255,3255,0,0,25.769638,-27.566764,101.123633,128.690396,-127.250420,459.840881
BUY,M1,CCI,BE,282,282,0,0,37.690502,-21.622530,108.708485,130.331016,-110.846442,341.943783
BUY,M1,CCI,OTHER_NONSTOP,1,1,0,0,7.440256,7.440256,7.440256,0.000000,7.440256,7.440256
BUY,M1,EMA20,STOP,75,75,0,0,1961.030000,1422.740000,4051.820000,2629.080000,1122.210000,5413.170000
BUY,M1,EMA20,NON-STOP,3538,3538,0,0,1766.775000,1290.137500,2034.980000,744.842500,1059.290000,5351.610000
BUY,M1,EMA20,TARGET,3255,3255,0,0,1782.200000,1293.095000,2141.330000,848.235000,1059.290000,5351.610000
BUY,M1,EMA20,BE,282,282,0,0,1324.775000,1245.852500,1811.315000,565.462500,1065.290000,5206.820000
BUY,M1,EMA20,OTHER_NONSTOP,1,1,0,0,4393.530000,4393.530000,4393.530000,0.000000,4393.530000,4393.530000
BUY,M1,EMA50,STOP,75,75,0,0,1960.470000,1422.670000,4053.775000,2631.105000,1122.430000,5421.930000
BUY,M1,EMA50,NON-STOP,3538,3538,0,0,1767.275000,1290.367500,2035.962500,745.595000,1060.060000,5346.370000
BUY,M1,EMA50,TARGET,3255,3255,0,0,1783.110000,1293.220000,2141.770000,848.550000,1060.060000,5346.370000
BUY,M1,EMA50,BE,282,282,0,0,1325.070000,1246.165000,1811.930000,565.765000,1065.710000,5207.440000
BUY,M1,EMA50,OTHER_NONSTOP,1,1,0,0,4393.710000,4393.710000,4393.710000,0.000000,4393.710000,4393.710000
BUY,M1,EMA100,STOP,75,75,0,0,1961.800000,1422.455000,4054.530000,2632.075000,1122.700000,5420.820000
BUY,M1,EMA100,NON-STOP,3538,3538,0,0,1768.210000,1290.512500,2035.997500,745.485000,1060.710000,5342.200000
BUY,M1,EMA100,TARGET,3255,3255,0,0,1783.520000,1293.350000,2141.715000,848.365000,1060.710000,5342.200000
BUY,M1,EMA100,BE,282,282,0,0,1325.735000,1246.470000,1812.650000,566.180000,1066.330000,5206.960000
BUY,M1,EMA100,OTHER_NONSTOP,1,1,0,0,4393.590000,4393.590000,4393.590000,0.000000,4393.590000,4393.590000
BUY,M1,EMA200,STOP,75,75,0,0,1964.730000,1422.165000,4054.725000,2632.560000,1123.040000,5405.730000
BUY,M1,EMA200,NON-STOP,3538,3538,0,0,1768.530000,1290.232500,2036.032500,745.800000,1061.300000,5338.270000
BUY,M1,EMA200,TARGET,3255,3255,0,0,1783.580000,1293.700000,2140.895000,847.195000,1061.300000,5338.270000
BUY,M1,EMA200,BE,282,282,0,0,1326.130000,1245.892500,1812.890000,566.997500,1067.010000,5202.950000
BUY,M1,EMA200,OTHER_NONSTOP,1,1,0,0,4393.620000,4393.620000,4393.620000,0.000000,4393.620000,4393.620000
BUY,M1,EMA200DistATR,STOP,75,75,0,0,-0.583000,-3.146906,1.120008,4.266914,-15.453311,7.285303
BUY,M1,EMA200DistATR,NON-STOP,3538,3538,0,0,-1.620472,-4.167400,0.753438,4.920838,-41.770908,21.663578
BUY,M1,EMA200DistATR,TARGET,3255,3255,0,0,-1.614569,-4.126388,0.742800,4.869187,-41.770908,19.487601
BUY,M1,EMA200DistATR,BE,282,282,0,0,-1.701660,-4.830270,0.940958,5.771228,-27.261342,21.663578
BUY,M1,EMA200DistATR,OTHER_NONSTOP,1,1,0,0,0.277125,0.277125,0.277125,0.000000,0.277125,0.277125
BUY,M1,RSISlope5,STOP,75,75,0,0,1.602936,0.830666,2.296664,1.465997,-0.888443,7.706349
BUY,M1,RSISlope5,NON-STOP,3538,3538,0,0,1.720190,0.916500,2.600162,1.683662,-6.029628,10.851236
