Direction,TF,Feature,Outcome,Value,N_total,N_complete,N_missing,Count,Pct_of_all_group,Pct_of_nonmissing
BUY,M1,DIStatus,STOP,+,75,75,0,50,66.666667,66.666667
BUY,M1,DIStatus,STOP,-,75,75,0,25,33.333333,33.333333
BUY,M1,DIStatus,STOP,[MISSING],75,75,0,0,0.000000,
BUY,M1,DIStatus,NON-STOP,+,3538,3538,0,1935,54.691916,54.691916
BUY,M1,DIStatus,NON-STOP,-,3538,3538,0,1603,45.308084,45.308084
BUY,M1,DIStatus,NON-STOP,[MISSING],3538,3538,0,0,0.000000,
BUY,M1,DIStatus,TARGET,+,3255,3255,0,1762,54.132104,54.132104
BUY,M1,DIStatus,TARGET,-,3255,3255,0,1493,45.867896,45.867896
BUY,M1,DIStatus,TARGET,[MISSING],3255,3255,0,0,0.000000,
BUY,M1,DIStatus,BE,+,282,282,0,172,60.992908,60.992908
BUY,M1,DIStatus,BE,-,282,282,0,110,39.007092,39.007092
BUY,M1,DIStatus,BE,[MISSING],282,282,0,0,0.000000,
BUY,M1,DIStatus,OTHER_NONSTOP,+,1,1,0,1,100.000000,100.000000
BUY,M1,DIStatus,OTHER_NONSTOP,-,1,1,0,0,0.000000,0.000000
BUY,M1,DIStatus,OTHER_NONSTOP,[MISSING],1,1,0,0,0.000000,
BUY,M1,EMAOrder,STOP,E100>E200>E20>E50,75,75,0,0,0.000000,0.000000
BUY,M1,EMAOrder,STOP,E100>E200>E50>E20,75,75,0,6,8.000000,8.000000
BUY,M1,EMAOrder,STOP,E100>E20>E50>E200,75,75,0,1,1.333333,1.333333
BUY,M1,EMAOrder,STOP,E100>E50>E200>E20,75,75,0,4,5.333333,5.333333
BUY,M1,EMAOrder,STOP,E100>E50>E20>E200,75,75,0,3,4.000000,4.000000
BUY,M1,EMAOrder,STOP,E200>E100>E20>E50,75,75,0,3,4.000000,4.000000
BUY,M1,EMAOrder,STOP,E200>E100>E50>E20,75,75,0,30,40.000000,40.000000
BUY,M1,EMAOrder,STOP,E200>E20>E100>E50,75,75,0,0,0.000000,0.000000
BUY,M1,EMAOrder,STOP,E200>E20>E50>E100,75,75,0,0,0.000000,0.000000
BUY,M1,EMAOrder,STOP,E200>E50>E100>E20,75,75,0,1,1.333333,1.333333
BUY,M1,EMAOrder,STOP,E200>E50>E20>E100,75,75,0,1,1.333333,1.333333
BUY,M1,EMAOrder,STOP,E20>E100>E200>E50,75,75,0,0,0.000000,0.000000
