Direction,TF,Outcome,N_total,N_complete_all_26_fields,N_missing_any_field,N_valid_flag_1
BUY,M1,STOP,75,75,0,75
BUY,M1,NON-STOP,3538,3538,0,3538
BUY,M1,TARGET,3255,3255,0,3255
BUY,M1,BE,282,282,0,282
BUY,M1,OTHER_NONSTOP,1,1,0,1
BUY,M5,STOP,75,75,0,75
BUY,M5,NON-STOP,3538,3538,0,3538
BUY,M5,TARGET,3255,3255,0,3255
BUY,M5,BE,282,282,0,282
BUY,M5,OTHER_NONSTOP,1,1,0,1
BUY,M15,STOP,75,75,0,75
BUY,M15,NON-STOP,3538,3535,3,3535
BUY,M15,TARGET,3255,3252,3,3252
BUY,M15,BE,282,282,0,282
BUY,M15,OTHER_NONSTOP,1,1,0,1
BUY,M30,STOP,75,75,0,75
BUY,M30,NON-STOP,3538,3534,4,3534
BUY,M30,TARGET,3255,3252,3,3252
BUY,M30,BE,282,281,1,281
BUY,M30,OTHER_NONSTOP,1,1,0,1
BUY,H1,STOP,75,75,0,75
BUY,H1,NON-STOP,3538,3529,9,3529
BUY,H1,TARGET,3255,3247,8,3247
BUY,H1,BE,282,281,1,281
BUY,H1,OTHER_NONSTOP,1,1,0,1
BUY,H4,STOP,75,74,1,74
BUY,H4,NON-STOP,3538,3505,33,3505
BUY,H4,TARGET,3255,3223,32,3223
BUY,H4,BE,282,281,1,281
BUY,H4,OTHER_NONSTOP,1,1,0,1
SELL,M1,STOP,13,13,0,13
SELL,M1,NON-STOP,1238,1238,0,1238
SELL,M1,TARGET,1159,1159,0,1159
SELL,M1,BE,79,79,0,79
SELL,M1,OTHER_NONSTOP,0,0,0,0
SELL,M5,STOP,13,13,0,13
SELL,M5,NON-STOP,1238,1238,0,1238
SELL,M5,TARGET,1159,1159,0,1159
SELL,M5,BE,79,79,0,79
SELL,M5,OTHER_NONSTOP,0,0,0,0
SELL,M15,STOP,13,13,0,13
SELL,M15,NON-STOP,1238,1238,0,1238
SELL,M15,TARGET,1159,1159,0,1159
SELL,M15,BE,79,79,0,79
SELL,M15,OTHER_NONSTOP,0,0,0,0
SELL,M30,STOP,13,13,0,13
SELL,M30,NON-STOP,1238,1238,0,1238
SELL,M30,TARGET,1159,1159,0,1159
SELL,M30,BE,79,79,0,79
SELL,M30,OTHER_NONSTOP,0,0,0,0
SELL,H1,STOP,13,13,0,13
SELL,H1,NON-STOP,1238,1238,0,1238
SELL,H1,TARGET,1159,1159,0,1159
SELL,H1,BE,79,79,0,79
SELL,H1,OTHER_NONSTOP,0,0,0,0
SELL,H4,STOP,13,13,0,13
SELL,H4,NON-STOP,1238,1225,13,1225
SELL,H4,TARGET,1159,1146,13,1146
SELL,H4,BE,79,79,0,79
SELL,H4,OTHER_NONSTOP,0,0,0,0
POOLED_SENSITIVITY,M1,STOP,88,88,0,88
POOLED_SENSITIVITY,M1,NON-STOP,4776,4776,0,4776
POOLED_SENSITIVITY,M1,TARGET,4414,4414,0,4414
POOLED_SENSITIVITY,M1,BE,361,361,0,361
POOLED_SENSITIVITY,M1,OTHER_NONSTOP,1,1,0,1
POOLED_SENSITIVITY,M5,STOP,88,88,0,88
POOLED_SENSITIVITY,M5,NON-STOP,4776,4776,0,4776
POOLED_SENSITIVITY,M5,TARGET,4414,4414,0,4414
POOLED_SENSITIVITY,M5,BE,361,361,0,361
POOLED_SENSITIVITY,M5,OTHER_NONSTOP,1,1,0,1
POOLED_SENSITIVITY,M15,STOP,88,88,0,88
POOLED_SENSITIVITY,M15,NON-STOP,4776,4773,3,4773
POOLED_SENSITIVITY,M15,TARGET,4414,4411,3,4411
POOLED_SENSITIVITY,M15,BE,361,361,0,361
POOLED_SENSITIVITY,M15,OTHER_NONSTOP,1,1,0,1
POOLED_SENSITIVITY,M30,STOP,88,88,0,88
POOLED_SENSITIVITY,M30,NON-STOP,4776,4772,4,4772
POOLED_SENSITIVITY,M30,TARGET,4414,4411,3,4411
POOLED_SENSITIVITY,M30,BE,361,360,1,360
POOLED_SENSITIVITY,M30,OTHER_NONSTOP,1,1,0,1
POOLED_SENSITIVITY,H1,STOP,88,88,0,88
POOLED_SENSITIVITY,H1,NON-STOP,4776,4767,9,4767
POOLED_SENSITIVITY,H1,TARGET,4414,4406,8,4406
POOLED_SENSITIVITY,H1,BE,361,360,1,360
POOLED_SENSITIVITY,H1,OTHER_NONSTOP,1,1,0,1
POOLED_SENSITIVITY,H4,STOP,88,87,1,87
POOLED_SENSITIVITY,H4,NON-STOP,4776,4730,46,4730
POOLED_SENSITIVITY,H4,TARGET,4414,4369,45,4369
POOLED_SENSITIVITY,H4,BE,361,360,1,360
POOLED_SENSITIVITY,H4,OTHER_NONSTOP,1,1,0,1
