sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,ALL,M1,RSI,9570,43.677501,44.215471,30.453665,53.653216,3.982160,92.787753
ALL,ALL,M1,ADX,9570,32.171380,29.818148,22.879679,39.292919,9.852506,89.058620
ALL,ALL,M1,CCI,9570,-33.828945,-30.309035,-160.891120,94.352215,-466.666667,466.666667
ALL,ALL,M1,DI_PLUS,9570,17.640451,16.103972,10.994079,22.122649,0.632639,63.449951
ALL,ALL,M1,DI_MINUS,9570,23.503227,20.858805,15.197515,32.057085,0.844357,65.253018
ALL,ALL,M1,DI_GAP,9570,15.160661,12.245035,4.780560,24.430628,0.004206,60.382693
ALL,ALL,M1,ATR,9570,0.724060,0.416250,0.245000,0.770437,0.020750,20.077500
ALL,ALL,M1,ATR_PCT_PRICE,9570,0.033259,0.024833,0.015839,0.040070,0.001635,0.454561
ALL,ALL,M1,EMA200_DIST_POINTS,9570,357.541218,192.542279,86.729875,394.233249,0.019144,14063.641144
ALL,ALL,M1,EMA200_DIST_ATR,9570,-1.930546,-2.754608,-5.875840,2.267358,-53.209614,38.280843
ALL,ALL,M5,RSI,9570,44.116361,42.447184,32.911716,54.393273,5.435312,89.299286
ALL,ALL,M5,ADX,9570,33.032469,30.845227,23.741642,40.488766,8.736896,85.277864
ALL,ALL,M5,CCI,9570,-62.626695,-94.595173,-151.372613,38.089098,-466.666667,466.666667
ALL,ALL,M5,DI_PLUS,9570,15.217313,12.974465,8.939258,19.747021,0.838946,52.668924
ALL,ALL,M5,DI_MINUS,9570,22.932115,23.629126,15.426846,30.034365,0.887928,54.930700
ALL,ALL,M5,DI_GAP,9570,15.997342,15.708357,8.813101,22.453623,0.000576,50.541625
ALL,ALL,M5,ATR,9570,1.585476,0.967500,0.590000,1.676438,0.089500,40.461000
ALL,ALL,M5,ATR_PCT_PRICE,9570,0.072725,0.057073,0.038809,0.087852,0.006766,1.106264
ALL,ALL,M5,EMA200_DIST_POINTS,9570,655.403769,359.011265,159.774014,731.404295,0.077456,29877.625254
ALL,ALL,M5,EMA200_DIST_ATR,9570,-0.548272,-0.912009,-4.176859,3.050791,-54.339991,51.638209
ALL,ALL,M15,RSI,9566,46.376872,45.874976,36.703698,55.510038,7.383082,91.970111
ALL,ALL,M15,ADX,9566,30.342581,27.963133,22.006235,36.127476,9.519466,88.802332
ALL,ALL,M15,CCI,9566,-50.247870,-72.798354,-147.173958,48.975727,-466.666667,459.771916
ALL,ALL,M15,DI_PLUS,9566,16.014008,14.550780,10.254393,20.364580,0.523014,50.564303
ALL,ALL,M15,DI_MINUS,9566,21.604577,21.481512,15.017587,27.947197,1.117575,53.668770
ALL,ALL,M15,DI_GAP,9566,13.562170,12.560103,6.270022,19.539229,0.000067,47.698488
ALL,ALL,M15,ATR,9566,2.635973,1.626625,1.017375,2.823438,0.189750,72.907500
ALL,ALL,M15,ATR_PCT_PRICE,9566,0.121211,0.097183,0.067880,0.146243,0.014916,1.765338
ALL,ALL,M15,EMA200_DIST_POINTS,9566,1096.266371,629.534612,281.703017,1252.569184,0.003584,46096.915336
ALL,ALL,M15,EMA200_DIST_ATR,9566,0.042162,-0.177079,-3.863521,3.834137,-43.662902,50.689819
ALL,ALL,M30,RSI,9562,47.810600,47.492671,38.934034,56.510249,6.150629,90.201408
ALL,ALL,M30,ADX,9562,29.720368,27.213981,21.371704,35.915041,9.060608,88.928684
ALL,ALL,M30,CCI,9562,-35.118344,-42.435057,-127.927160,56.566267,-465.912683,466.666667
ALL,ALL,M30,DI_PLUS,9562,16.632757,15.643859,11.137349,21.236148,0.994415,48.531876
ALL,ALL,M30,DI_MINUS,9562,20.223999,19.854965,14.113438,25.777199,0.939926,50.810502
ALL,ALL,M30,DI_GAP,9562,11.973363,10.569315,5.121872,17.408073,0.004616,46.249483
ALL,ALL,M30,ATR,9562,3.722515,2.316500,1.462813,4.001500,0.337250,83.926750
ALL,ALL,M30,ATR_PCT_PRICE,9562,0.170978,0.139381,0.098378,0.206691,0.026588,2.032152
ALL,ALL,M30,EMA200_DIST_POINTS,9562,1497.846463,863.775596,382.784839,1698.769120,0.191241,59490.243776
ALL,ALL,M30,EMA200_DIST_ATR,9562,0.298717,0.312335,-3.327619,3.778165,-32.898006,39.846463
ALL,ALL,H1,RSI,9553,48.915180,48.633244,40.254143,57.850607,8.332642,88.217262
ALL,ALL,H1,ADX,9553,29.574159,27.455802,21.219558,35.471361,9.046572,86.962608
ALL,ALL,H1,CCI,9553,-19.813791,-20.841976,-104.264957,67.314350,-456.711993,370.926804
ALL,ALL,H1,DI_PLUS,9553,17.139568,16.234009,11.845218,21.550200,1.480411,48.366814
ALL,ALL,H1,DI_MINUS,9553,18.862373,18.251362,13.083465,23.994767,0.797203,50.758862
ALL,ALL,H1,DI_GAP,9553,11.090145,9.629322,4.454773,16.208359,0.002920,44.582425
ALL,ALL,H1,ATR,9553,5.322598,3.343250,2.135750,5.602750,0.486500,149.765000
ALL,ALL,H1,ATR_PCT_PRICE,9553,0.243628,0.200787,0.142772,0.294123,0.038584,3.234515
ALL,ALL,H1,EMA200_DIST_POINTS,9553,2044.848449,1188.883870,512.210861,2380.852357,0.117430,73020.813117
ALL,ALL,H1,EMA200_DIST_ATR,9553,0.499788,0.633757,-2.820424,3.917955,-29.594933,28.089176
ALL,ALL,H4,RSI,9480,50.302705,50.592644,42.124636,58.578060,10.416686,92.544762
ALL,ALL,H4,ADX,9480,30.009964,27.711986,21.523602,36.191083,8.408214,83.878545
ALL,ALL,H4,CCI,9480,-0.580206,1.849760,-82.096895,81.951830,-440.069959,366.579580
ALL,ALL,H4,DI_PLUS,9480,18.117963,17.410093,12.737138,22.811975,1.872096,56.664731
