sep=,
TF,Feature,SingleStepN,Deep45N,SingleStepMean,Deep45Mean,DeepMinusSingle
M1,RSI,1888,419,49.53293796,49.32790789,-0.20503007
M1,ATR,1888,419,0.67908329,0.34213067,-0.33695262
M1,ADX,1888,419,28.60380664,28.36394006,-0.23986659
M1,CCI,1888,419,33.38487142,38.17896683,4.79409542
M1,DI_Gap,1888,419,6.18781503,7.13229191,0.94447688
M1,EMA200_Dist_ATR,1888,419,-0.78353279,-1.16178674,-0.37825395
M1,EMA_Compression,1888,419,4.89694761,5.55095120,0.65400359
M5,RSI,1888,419,48.00433276,47.55990575,-0.44442702
M5,ATR,1888,419,1.70097683,0.91777506,-0.78320177
M5,ADX,1888,419,32.67017631,31.82519633,-0.84497998
M5,CCI,1888,419,-28.23162837,-33.56044853,-5.32882017
M5,DI_Gap,1888,419,12.68910016,11.88091675,-0.80818341
M5,EMA200_Dist_ATR,1888,419,0.50450395,0.10397463,-0.40052932
M5,EMA_Compression,1888,419,4.33340288,5.44765080,1.11424792
M15,RSI,1886,419,49.60408877,48.90763149,-0.69645728
M15,ATR,1886,419,3.01811095,1.66599344,-1.35211751
M15,ADX,1886,419,29.78225761,28.66172267,-1.12053493
M15,CCI,1886,419,-24.05019768,-28.18152832,-4.13133064
M15,DI_Gap,1886,419,11.55103487,10.60362923,-0.94740564
M15,EMA200_Dist_ATR,1886,419,0.88885934,0.35917485,-0.52968449
M15,EMA_Compression,1886,419,4.36452874,5.32564406,0.96111532
M30,RSI,1886,418,50.62293442,49.48177388,-1.14116054
M30,ATR,1886,418,4.33790960,2.51431579,-1.82359381
M30,ADX,1886,418,29.78787510,28.37757221,-1.41030289
M30,CCI,1886,418,-12.86865984,-16.16405642,-3.29539658
M30,DI_Gap,1886,418,10.64638823,9.89001000,-0.75637823
M30,EMA200_Dist_ATR,1886,418,1.00065997,0.28334777,-0.71731220
M30,EMA_Compression,1886,418,4.10922942,4.86394470,0.75471527
H1,RSI,1884,418,51.27127910,49.74160209,-1.52967701
H1,ATR,1884,418,6.21109926,3.77405981,-2.43703945
H1,ADX,1884,418,29.95577313,28.34452406,-1.61124906
H1,CCI,1884,418,-0.80326346,-5.36961460,-4.56635115
H1,DI_Gap,1884,418,10.30083204,9.70463937,-0.59619266
H1,EMA200_Dist_ATR,1884,418,1.04665619,0.30214202,-0.74451417
H1,EMA_Compression,1884,418,3.91626140,4.55268498,0.63642358
H4,RSI,1870,417,51.90009365,50.45839726,-1.44169639
H4,ATR,1870,417,11.56577099,7.60226559,-3.96350540
H4,ADX,1870,417,29.99242615,29.32222923,-0.67019693
H4,CCI,1870,417,12.77929840,0.55639664,-12.22290175
H4,DI_Gap,1870,417,10.74239675,10.38743912,-0.35495763
H4,EMA200_Dist_ATR,1870,417,1.39428730,0.79895622,-0.59533107
H4,EMA_Compression,1870,417,4.22336326,4.45637748,0.23301421
