Event;SetupID;DecisionTime;StepFrom;StepTo;Direction;Bid;Ask;SpreadPoints;ATR;ATRPct100;ATRRegime;ADX;DIPlus;DIMinus;RSI;MACDHist;EMA200DistATR;EMA200Slope5ATR;FloatingPnLNoCost;OpenPositions;BasketBE;Session;OpenHour;Mode;Rule;FillPrice;FillTime
A;1;2014.01.03 04:17:09;0;1;BUY;1229.62;1229.95;32.6;0.11;0.009230;0.7492;28.6226;20.9789;14.0341;44.5284;0.075629;-5.7948;-0.070748;0.00;0;0.00;Asia;4;0;NONE;0.00;
A;2;2014.01.03 13:15:00;0;1;BUY;1230.63;1230.98;34.5;0.35;0.028806;0.7467;29.5252;23.3640;5.8511;54.7972;0.137380;-2.0207;-0.029712;0.00;0;0.00;Overlap;13;0;NONE;0.00;
A;2;2014.01.03 13:21:41;1;2;BUY;1228.25;1228.56;31.6;1.22;0.099186;2.6241;22.7032;17.5311;24.9268;33.2771;-0.119944;-2.4698;-0.013943;-2.73;1;0.00;Overlap;13;0;NONE;0.00;
P;2;2014.01.03 13:21:41;1;2;BUY;1228.25;1228.56;31.6;1.22;0.099186;2.6241;22.7032;17.5311;24.9268;33.2771;-0.119944;-2.4698;-0.013943;-3.36;2;0.00;Overlap;13;0;M0;0.00;
F;2;2014.01.03 13:21:41;1;2;BUY;1228.25;1228.56;31.6;1.22;0.099186;2.6241;22.7032;17.5311;24.9268;33.2771;-0.119944;-2.4698;-0.013943;-3.36;2;1229.42;Overlap;13;0;M0;1228.56;2014.01.03 13:21:41
A;3;2014.01.06 00:14:00;0;1;BUY;1234.79;1235.23;43.4;0.64;0.051628;1.2254;35.3491;19.6506;22.9668;52.5367;0.133755;-2.2022;-0.035030;0.00;0;0.00;Asia;0;0;NONE;0.00;
A;4;2014.01.07 23:45:17;0;1;BUY;1230.64;1230.91;27.3;0.10;0.008085;0.7425;34.4990;26.5805;29.9280;40.0538;0.016572;-5.9771;-0.071937;0.00;0;0.00;Asia;23;0;NONE;0.00;
A;4;2014.01.07 23:49:40;1;2;BUY;1230.35;1230.64;28.9;0.26;0.020827;2.4879;25.5299;23.4369;34.9502;34.5386;0.037331;-3.3447;-0.021552;-0.56;1;0.00;Asia;23;0;NONE;0.00;
P;4;2014.01.07 23:49:40;1;2;BUY;1230.35;1230.64;28.9;0.26;0.020827;2.4879;25.5299;23.4369;34.9502;34.5386;0.037331;-3.3447;-0.021552;-1.14;2;0.00;Asia;23;0;M0;0.00;
F;4;2014.01.07 23:49:40;1;2;BUY;1230.35;1230.64;28.9;0.26;0.020827;2.4879;25.5299;23.4369;34.9502;34.5386;0.037331;-3.3447;-0.021552;-1.14;2;1230.57;Asia;23;0;M0;1230.64;2014.01.07 23:49:40
A;4;2014.01.07 23:57:48;2;3;BUY;1229.29;1229.67;37.3;0.27;0.021760;1.0974;25.1945;19.0797;35.9827;20.5992;-0.084190;-6.8075;-0.048069;-4.32;2;1230.57;Asia;23;0;NONE;0.00;
P;4;2014.01.07 23:57:48;2;3;BUY;1229.29;1229.67;37.3;0.27;0.021760;1.0974;25.1945;19.0797;35.9827;20.5992;-0.084190;-6.8075;-0.048069;-5.44;3;1230.57;Asia;23;0;M0;0.00;
F;4;2014.01.07 23:57:48;2;3;BUY;1229.29;1229.67;37.3;0.27;0.021760;1.0974;25.1945;19.0797;35.9827;20.5992;-0.084190;-6.8075;-0.048069;-5.44;3;1230.09;Asia;23;0;M0;1229.67;2014.01.07 23:57:48
A;4;2014.01.08 00:14:04;3;4;BUY;1228.30;1228.64;34.2;0.44;0.035618;3.2468;20.3336;20.8383;36.3279;21.6175;-0.084437;-5.7737;-0.044915;-18.34;3;1230.09;Asia;0;0;NONE;0.00;
P;4;2014.01.08 00:14:04;3;4;BUY;1228.30;1228.64;34.2;0.44;0.035618;3.2468;20.3336;20.8383;36.3279;21.6175;-0.084437;-5.7737;-0.044915;-19.71;4;1230.09;Asia;0;0;M0;0.00;
F;4;2014.01.08 00:14:04;3;4;BUY;1228.30;1228.64;34.2;0.44;0.035618;3.2468;20.3336;20.8383;36.3279;21.6175;-0.084437;-5.7737;-0.044915;-19.71;4;1229.39;Asia;0;0;M0;1228.64;2014.01.08 00:14:04
A;5;2014.01.09 02:46:12;0;1;BUY;1226.45;1226.82;36.5;0.20;0.015900;1.5175;32.1476;35.1949;19.1873;50.8983;0.061388;1.5699;0.004702;0.00;0;0.00;Asia;2;0;NONE;0.00;
A;5;2014.01.09 05:59:55;1;2;BUY;1225.36;1225.72;36.0;0.48;0.039172;1.3445;26.0419;15.9433;33.8126;27.8772;-0.098841;-3.0951;-0.012445;-1.45;1;0.00;Asia;5;0;NONE;0.00;
P;5;2014.01.09 05:59:55;1;2;BUY;1225.36;1225.72;36.0;0.48;0.039172;1.3445;26.0419;15.9433;33.8126;27.8772;-0.098841;-3.0951;-0.012445;-2.17;2;0.00;Asia;5;0;M0;0.00;
F;5;2014.01.09 05:59:55;1;2;BUY;1225.36;1225.72;36.0;0.48;0.039172;1.3445;26.0419;15.9433;33.8126;27.8772;-0.098841;-3.0951;-0.012445;-2.17;2;1225.88;Asia;5;0;M0;1225.72;2014.01.09 05:59:55
A;6;2014.01.10 00:03:00;0;1;BUY;1228.98;1229.35;36.5;0.17;0.014016;2.2516;16.5970;30.8139;18.1048;58.2975;-0.007403;4.2990;0.039509;0.00;0;0.00;Asia;0;0;NONE;0.00;
A;6;2014.01.10 00:06:52;1;2;BUY;1228.38;1228.69;30.4;0.21;0.016770;1.4014;20.7503;11.9262;30.4849;36.2771;-0.068057;0.6619;0.020341;-0.96;1;0.00;Asia;0;0;NONE;0.00;
P;6;2014.01.10 00:06:52;1;2;BUY;1228.38;1228.69;30.4;0.21;0.016770;1.4014;20.7503;11.9262;30.4849;36.2771;-0.068057;0.6619;0.020341;-1.57;2;0.00;Asia;0;0;M0;0.00;
F;6;2014.01.10 00:06:52;1;2;BUY;1228.38;1228.69;30.4;0.21;0.016770;1.4014;20.7503;11.9262;30.4849;36.2771;-0.068057;0.6619;0.020341;-1.57;2;1228.75;Asia;0;0;M0;1228.69;2014.01.10 00:06:52
A;7;2014.01.10 12:43:00;0;1;BUY;1232.87;1233.23;36.5;0.10;0.008496;0.4640;20.2467;17.5234;16.2972;43.1951;-0.010439;-4.7854;-0.050243;0.00;0;0.00;Overlap;12;0;NONE;0.00;
A;8;2014.01.10 17:19:00;0;1;BUY;1243.79;1244.14;35.2;0.20;0.016040;0.7112;25.1693;15.9400;21.0205;49.2596;0.006183;4.5932;0.038977;0.00;0;0.00;NewYork;17;0;NONE;0.00;
A;9;2014.01.13 05:38:00;0;1;BUY;1251.53;1251.89;36.0;0.26;0.020715;0.4451;22.5357;33.8400;15.0417;56.5475;0.047625;4.0816;0.037046;0.00;0;0.00;Asia;5;0;NONE;0.00;
A;9;2014.01.13 06:34:58;1;2;BUY;1249.44;1249.84;39.5;0.64;0.051043;2.0876;60.6012;3.6787;43.0483;17.9112;-0.214152;-2.1813;-0.006358;-2.45;1;0.00;Asia;6;0;NONE;0.00;
P;9;2014.01.13 06:34:58;1;2;BUY;1249.44;1249.84;39.5;0.64;0.051043;2.0876;60.6012;3.6787;43.0483;17.9112;-0.214152;-2.1813;-0.006358;-3.24;2;0.00;Asia;6;0;M0;0.00;
