sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,ALL,M1,RSI,9605,43.545125,44.181928,30.289299,53.641891,3.924580,94.402145
ALL,ALL,M1,ADX,9605,32.225814,29.877954,22.904346,39.339352,9.852506,89.058620
ALL,ALL,M1,CCI,9605,-35.673074,-31.118992,-163.035357,94.336760,-466.666667,466.666667
ALL,ALL,M1,DI_PLUS,9605,17.632744,16.098343,10.973962,22.125624,0.632639,63.449951
ALL,ALL,M1,DI_MINUS,9605,23.630261,20.975922,15.215282,32.294925,0.844357,65.253018
ALL,ALL,M1,DI_GAP,9605,15.292395,12.390432,4.823000,24.641629,0.004206,60.382693
ALL,ALL,M1,ATR,9605,0.743102,0.417500,0.245000,0.785500,0.020750,20.077500
ALL,ALL,M1,ATR_PCT_PRICE,9605,0.034217,0.024915,0.015831,0.040363,0.001635,0.454561
ALL,ALL,M1,EMA200_DIST_POINTS,9605,361.129781,192.556138,86.702349,396.501040,0.019144,14063.641144
ALL,ALL,M1,EMA200_DIST_ATR,9605,-1.887160,-2.764457,-5.787905,2.248493,-53.209614,38.280843
ALL,ALL,M5,RSI,9605,44.042639,42.424045,32.854491,54.322764,5.435312,89.299286
ALL,ALL,M5,ADX,9605,33.007049,30.835302,23.728151,40.454990,8.736896,85.277864
ALL,ALL,M5,CCI,9605,-63.866453,-94.941010,-152.501357,37.721411,-466.666667,466.666667
ALL,ALL,M5,DI_PLUS,9605,15.204080,12.949052,8.940949,19.717110,0.838946,52.668924
ALL,ALL,M5,DI_MINUS,9605,22.986891,23.641566,15.440798,30.100106,0.887928,54.930700
ALL,ALL,M5,DI_GAP,9605,16.040756,15.717001,8.811650,22.492187,0.000576,50.541625
ALL,ALL,M5,ATR,9605,1.592809,0.968750,0.590000,1.685000,0.089500,40.461000
ALL,ALL,M5,ATR_PCT_PRICE,9605,0.072891,0.057122,0.038840,0.088151,0.006766,1.106264
ALL,ALL,M5,EMA200_DIST_POINTS,9605,658.597394,359.578747,159.903287,732.032902,0.077456,29877.625254
ALL,ALL,M5,EMA200_DIST_ATR,9605,-0.562336,-0.930986,-4.192798,3.045412,-54.339991,51.638209
ALL,ALL,M15,RSI,9601,46.320048,45.817707,36.619067,55.454691,7.383082,91.970111
ALL,ALL,M15,ADX,9601,30.324515,27.947805,22.009654,36.120226,9.519466,88.801384
ALL,ALL,M15,CCI,9601,-50.989138,-72.967089,-147.818343,48.568573,-466.666667,460.089673
ALL,ALL,M15,DI_PLUS,9601,15.995767,14.536240,10.239830,20.338319,0.523014,50.564303
ALL,ALL,M15,DI_MINUS,9601,21.642268,21.501857,15.040382,27.988152,1.117575,53.668770
ALL,ALL,M15,DI_GAP,9601,13.578441,12.562201,6.281373,19.565356,0.000067,47.698488
ALL,ALL,M15,ATR,9601,2.641683,1.627250,1.017250,2.827250,0.189750,72.907500
ALL,ALL,M15,ATR_PCT_PRICE,9601,0.121243,0.097362,0.067912,0.146374,0.014916,1.765338
ALL,ALL,M15,EMA200_DIST_POINTS,9601,1097.808594,629.332811,281.549218,1252.602124,0.003584,46096.915336
ALL,ALL,M15,EMA200_DIST_ATR,9601,0.029706,-0.199210,-3.858781,3.824171,-43.662902,50.689819
ALL,ALL,M30,RSI,9597,47.756132,47.422109,38.870293,56.450602,6.150629,90.201408
ALL,ALL,M30,ADX,9597,29.726515,27.228235,21.370840,35.916781,9.060608,88.928684
ALL,ALL,M30,CCI,9597,-35.673179,-43.182541,-128.409908,56.143073,-461.832537,466.666667
ALL,ALL,M30,DI_PLUS,9597,16.607947,15.607150,11.113716,21.193686,0.994415,48.531876
ALL,ALL,M30,DI_MINUS,9597,20.254960,19.881365,14.125667,25.827101,0.939926,50.810502
ALL,ALL,M30,DI_GAP,9597,11.988038,10.580885,5.125004,17.420031,0.004616,46.136577
ALL,ALL,M30,ATR,9597,3.726435,2.318000,1.462750,3.997750,0.337250,83.926750
ALL,ALL,M30,ATR_PCT_PRICE,9597,0.170974,0.139438,0.098448,0.206640,0.026588,2.032152
ALL,ALL,M30,EMA200_DIST_POINTS,9597,1498.415329,863.311662,382.655481,1695.935898,0.191241,59490.243776
ALL,ALL,M30,EMA200_DIST_ATR,9597,0.293752,0.307220,-3.345843,3.764966,-32.898006,39.846463
ALL,ALL,H1,RSI,9588,48.872658,48.576532,40.154946,57.829680,8.332642,88.217262
ALL,ALL,H1,ADX,9588,29.566801,27.455911,21.247475,35.452258,9.046572,86.962608
ALL,ALL,H1,CCI,9588,-20.194959,-21.527513,-104.622674,66.735799,-456.711993,370.926804
ALL,ALL,H1,DI_PLUS,9588,17.118657,16.222963,11.828849,21.519110,1.480411,48.366814
ALL,ALL,H1,DI_MINUS,9588,18.894220,18.277968,13.114984,24.039560,0.797203,50.758862
ALL,ALL,H1,DI_GAP,9588,11.103570,9.650120,4.454773,16.219382,0.002920,44.582425
ALL,ALL,H1,ATR,9588,5.322590,3.342500,2.135250,5.603125,0.486500,149.765000
ALL,ALL,H1,ATR_PCT_PRICE,9588,0.243412,0.200667,0.142783,0.292945,0.038584,3.234515
ALL,ALL,H1,EMA200_DIST_POINTS,9588,2045.976978,1185.787200,511.955260,2378.665509,0.117430,73020.813117
ALL,ALL,H1,EMA200_DIST_ATR,9588,0.502841,0.637460,-2.818433,3.918322,-29.594933,28.089176
ALL,ALL,H4,RSI,9515,50.286724,50.571054,42.105145,58.563641,10.416686,92.544762
ALL,ALL,H4,ADX,9515,29.985012,27.705482,21.516202,36.176877,8.408214,83.878545
ALL,ALL,H4,CCI,9515,-0.923417,1.226520,-82.674495,81.573393,-440.069959,366.579580
ALL,ALL,H4,DI_PLUS,9515,18.108258,17.398975,12.735211,22.794896,1.872096,56.664731
ALL,ALL,H4,DI_MINUS,9515,17.697245,17.115987,12.299633,22.415697,1.143058,50.113185
ALL,ALL,H4,DI_GAP,9515,10.727223,9.291681,4.311200,15.601611,0.003882,50.389069
ALL,ALL,H4,ATR,9515,10.334996,6.556250,4.340375,10.562500,0.958250,236.049000
ALL,ALL,H4,ATR_PCT_PRICE,9515,0.466784,0.397317,0.291225,0.549719,0.074491,5.034332
ALL,ALL,H4,EMA200_DIST_POINTS,9515,4260.843820,2486.156292,1105.209533,4988.600056,0.147989,83851.475473
ALL,ALL,H4,EMA200_DIST_ATR,9515,0.981735,0.922118,-2.671439,4.829287,-33.675090,23.536023
ALL,BUY,M1,RSI,7250,37.698414,36.885173,27.701323,48.051249,3.924580,90.967288
ALL,BUY,M1,ADX,7250,32.376695,29.934357,23.044839,39.491730,9.852506,89.058620
ALL,BUY,M1,CCI,7250,-65.057223,-69.592718,-181.554893,62.319217,-466.666667,466.471357
ALL,BUY,M1,DI_PLUS,7250,15.199351,14.321319,9.759844,19.604176,0.632639,55.825725
ALL,BUY,M1,DI_MINUS,7250,26.330303,24.577345,17.218555,34.914042,0.844357,65.253018
ALL,BUY,M1,DI_GAP,7250,15.608362,12.837102,4.987934,24.972970,0.005074,58.532849
ALL,BUY,M1,ATR,7250,0.766690,0.423250,0.246312,0.809437,0.020750,20.077500
ALL,BUY,M1,ATR_PCT_PRICE,7250,0.035088,0.025310,0.015937,0.041247,0.001635,0.424861
ALL,BUY,M1,EMA200_DIST_POINTS,7250,366.278291,188.738610,85.806123,396.464073,0.019144,14063.641144
ALL,BUY,M1,EMA200_DIST_ATR,7250,-3.977291,-4.142275,-6.673615,-1.327513,-53.209614,36.389538
ALL,BUY,M5,RSI,7250,38.203185,37.659868,30.392525,45.671094,5.435312,83.192331
ALL,BUY,M5,ADX,7250,32.929745,30.835481,23.727427,40.284635,8.736896,85.277864
ALL,BUY,M5,CCI,7250,-122.933302,-121.199907,-171.619045,-78.890151,-466.666667,437.513607
ALL,BUY,M5,DI_PLUS,7250,11.593367,10.927241,7.968646,14.529595,0.838946,41.478986
ALL,BUY,M5,DI_MINUS,7250,26.773639,26.639285,21.376443,32.028878,2.539130,54.930700
ALL,BUY,M5,DI_GAP,7250,16.115714,15.778585,8.811952,22.586607,0.000576,50.541625
ALL,BUY,M5,ATR,7250,1.625704,0.971750,0.590000,1.721750,0.095750,40.461000
ALL,BUY,M5,ATR_PCT_PRICE,7250,0.074050,0.057562,0.039078,0.089672,0.006766,0.838916
ALL,BUY,M5,EMA200_DIST_POINTS,7250,661.213736,357.815235,157.734803,729.671515,0.148117,29877.625254
ALL,BUY,M5,EMA200_DIST_ATR,7250,-1.436756,-1.879614,-4.769082,1.586333,-54.339991,51.638209
ALL,BUY,M15,RSI,7246,42.208358,42.186113,34.048238,50.108471,7.383082,83.351678
ALL,BUY,M15,ADX,7246,30.283045,27.952793,22.097640,35.985012,9.519466,88.801384
ALL,BUY,M15,CCI,7246,-101.116630,-113.986079,-166.027037,-32.578247,-466.666667,353.395771
ALL,BUY,M15,DI_PLUS,7246,13.143161,12.537534,9.185637,16.634063,0.523014,38.208274
ALL,BUY,M15,DI_MINUS,7246,24.553951,24.506974,19.185786,29.743868,1.117575,53.668770
ALL,BUY,M15,DI_GAP,7246,13.501915,12.469795,6.213748,19.538688,0.000067,47.698488
ALL,BUY,M15,ATR,7246,2.670549,1.622875,1.012750,2.884312,0.189750,72.907500
ALL,BUY,M15,ATR_PCT_PRICE,7246,0.122222,0.097547,0.067650,0.147220,0.014916,1.765338
ALL,BUY,M15,EMA200_DIST_POINTS,7246,1116.427402,638.650891,283.175886,1273.133469,0.003584,46096.915336
ALL,BUY,M15,EMA200_DIST_ATR,7246,-0.358781,-0.751673,-4.279415,3.228728,-43.662902,50.689819
ALL,BUY,M30,RSI,7242,44.802170,44.714847,36.659292,52.677699,6.150629,84.255953
ALL,BUY,M30,ADX,7242,29.815879,27.201311,21.388020,35.932024,9.060608,88.928684
ALL,BUY,M30,CCI,7242,-73.423622,-81.764785,-149.174254,11.871772,-461.832537,395.678942
ALL,BUY,M30,DI_PLUS,7242,14.566035,14.075255,10.113997,18.373759,0.994415,41.774133
ALL,BUY,M30,DI_MINUS,7242,22.295968,22.086969,16.715365,27.609418,0.939926,50.810502
ALL,BUY,M30,DI_GAP,7242,11.886268,10.542011,5.084702,17.187327,0.004616,46.136577
ALL,BUY,M30,ATR,7242,3.729941,2.306250,1.448813,4.029813,0.337250,83.926750
ALL,BUY,M30,ATR_PCT_PRICE,7242,0.171105,0.139268,0.098300,0.207085,0.026588,2.032152
ALL,BUY,M30,EMA200_DIST_POINTS,7242,1619.873096,960.758664,426.405294,1842.476273,0.191241,59490.243776
ALL,BUY,M30,EMA200_DIST_ATR,7242,0.040944,-0.116874,-4.020858,3.928153,-32.898006,39.846463
ALL,BUY,H1,RSI,7233,46.949573,46.681109,38.557875,55.208375,8.332642,88.217262
ALL,BUY,H1,ADX,7233,29.691678,27.525071,21.395495,35.366355,9.046572,86.962608
ALL,BUY,H1,CCI,7233,-44.722810,-48.260177,-123.449418,43.776536,-456.711993,370.926804
ALL,BUY,H1,DI_PLUS,7233,15.865386,15.151379,11.108057,19.830773,1.480411,44.711289
ALL,BUY,H1,DI_MINUS,7233,20.137660,19.716531,14.525019,25.317212,0.797203,50.758862
ALL,BUY,H1,DI_GAP,7233,11.015235,9.582805,4.373451,16.116633,0.002920,44.582425
ALL,BUY,H1,ATR,7233,5.310080,3.326000,2.122000,5.656500,0.486500,102.780750
ALL,BUY,H1,ATR_PCT_PRICE,7233,0.243109,0.200402,0.142339,0.293213,0.038584,2.719031
ALL,BUY,H1,EMA200_DIST_POINTS,7233,2332.685451,1423.353225,633.960748,2675.029937,0.117430,73020.813117
ALL,BUY,H1,EMA200_DIST_ATR,7233,0.303516,0.360315,-3.844397,4.483656,-29.594933,28.089176
ALL,BUY,H4,RSI,7182,49.502034,49.528517,40.556643,58.498921,10.416686,92.544762
ALL,BUY,H4,ADX,7182,30.803180,28.352724,21.779716,37.180709,8.408214,83.878545
ALL,BUY,H4,CCI,7182,-8.165310,-5.107841,-88.521321,73.304204,-440.069959,337.026131
ALL,BUY,H4,DI_PLUS,7182,17.829699,17.127504,12.453976,22.565438,1.872096,56.664731
ALL,BUY,H4,DI_MINUS,7182,17.944690,17.378268,12.403632,22.781554,1.143058,50.113185
ALL,BUY,H4,DI_GAP,7182,10.867605,9.287135,4.365705,15.794810,0.003882,50.389069
ALL,BUY,H4,ATR,7182,10.341887,6.580375,4.327938,10.647938,1.117000,233.702750
ALL,BUY,H4,ATR_PCT_PRICE,7182,0.467122,0.398829,0.292143,0.551302,0.086940,4.565576
