Event;SetupID;StepFrom;StepTo;T_decision;DecisionServerTime;FeatureShift;BarOpenTime_Shift1;BarCloseTime_Shift1;ATR_Shift1;ATRPct_Shift1;ADX_Shift1;DIPlus_Shift1;DIMinus_Shift1;PriceRef_Shift1;strict_before_check;C2M2_Decision;LatchStatus;Direction;Mode;Rule;SourceCommit;SpecVersion;Build
C2M2_DECISION;4;3;4;2014.01.08 00:14:04;2014.01.08 00:14:04;1;2014.01.08 00:13:00;2014.01.08 00:14:00;0.39;0.031846;19.2933;24.0442;28.7849;1228.58;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;31;3;4;2014.01.30 03:14:31;2014.01.30 03:14:31;1;2014.01.30 03:13:00;2014.01.30 03:14:00;0.14;0.011055;47.3247;5.2946;37.4174;1261.89;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;50;3;4;2014.02.18 05:49:20;2014.02.18 05:49:20;1;2014.02.18 05:48:00;2014.02.18 05:49:00;0.31;0.023869;29.1349;12.9127;16.7090;1318.63;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;62;3;4;2014.03.04 06:11:54;2014.03.04 06:11:54;1;2014.03.04 06:10:00;2014.03.04 06:11:00;1.14;0.084697;37.7858;8.3324;38.1243;1344.20;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;64;3;4;2014.03.12 01:33:34;2014.03.12 01:33:34;1;2014.03.12 01:32:00;2014.03.12 01:33:00;0.74;0.054671;41.2742;24.3125;9.1230;1351.73;true;ALLOW;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;74;3;4;2014.03.25 12:26:17;2014.03.25 12:26:17;1;2014.03.25 12:25:00;2014.03.25 12:26:00;0.41;0.031431;33.0701;13.7420;33.8624;1309.23;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;104;3;4;2014.04.28 05:37:17;2014.04.28 05:37:17;1;2014.04.28 05:36:00;2014.04.28 05:37:00;0.36;0.027751;32.9902;18.9960;32.3355;1302.65;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;120;3;4;2014.05.05 12:38:54;2014.05.05 12:38:54;1;2014.05.05 12:37:00;2014.05.05 12:38:00;0.25;0.019359;20.7098;22.7197;13.5821;1314.61;true;ALLOW;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;135;3;4;2014.05.21 06:29:38;2014.05.21 06:29:38;1;2014.05.21 06:28:00;2014.05.21 06:29:00;0.17;0.013253;23.7241;11.8921;29.3805;1294.03;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;138;3;4;2014.05.28 00:10:49;2014.05.28 00:10:49;1;2014.05.28 00:09:00;2014.05.28 00:10:00;0.17;0.013855;18.7329;13.2991;27.6244;1263.05;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;139;3;4;2014.05.30 12:16:58;2014.05.30 12:16:58;1;2014.05.30 12:15:00;2014.05.30 12:16:00;0.79;0.062926;54.0736;3.7531;37.9085;1251.87;true;VETO;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;155;3;4;2014.06.26 07:16:32;2014.06.26 07:16:32;1;2014.06.26 07:15:00;2014.06.26 07:16:00;0.38;0.028914;26.4062;12.7374;39.3557;1315.12;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;163;3;4;2014.07.03 11:09:41;2014.07.03 11:09:41;1;2014.07.03 11:08:00;2014.07.03 11:09:00;0.23;0.017470;37.3374;8.9762;21.5077;1320.84;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;165;3;4;2014.07.06 22:15:00;2014.07.06 22:15:00;1;2014.07.06 22:14:00;2014.07.06 22:15:00;0.05;0.003467;42.2029;4.9400;26.5163;1319.63;false;INVALID;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;169;3;4;2014.07.09 11:47:23;2014.07.09 11:47:23;1;2014.07.09 11:46:00;2014.07.09 11:47:00;0.49;0.037175;65.7657;36.4545;2.7397;1326.16;true;ALLOW;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
