sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,ALL,M1,RSI,117,42.719003,43.895813,29.954704,54.758879,9.983406,77.817252
ALL,ALL,M1,ADX,117,31.776612,29.657629,23.631943,37.684826,14.706375,60.762087
ALL,ALL,M1,CCI,117,-42.897922,-52.745327,-167.822699,75.909226,-357.245136,260.831394
ALL,ALL,M1,DI_PLUS,117,18.747585,18.258376,11.336175,23.412299,3.678723,44.841773
ALL,ALL,M1,DI_MINUS,117,25.442522,22.411282,15.593917,34.950174,4.092758,58.259674
ALL,ALL,M1,DI_GAP,117,16.398277,12.761878,6.099462,26.102346,0.146697,42.359168
ALL,ALL,M1,ATR,117,0.349081,0.272500,0.192000,0.424750,0.090250,1.622000
ALL,ALL,M1,ATR_PCT_PRICE,117,0.027585,0.021760,0.015327,0.033660,0.006874,0.130692
ALL,ALL,M1,EMA200_DIST_POINTS,117,153.938425,114.370629,53.481398,245.972447,3.373133,559.729557
ALL,ALL,M1,EMA200_DIST_ATR,117,-1.696202,-1.934429,-5.031980,2.257208,-18.455016,9.224671
ALL,ALL,M5,RSI,117,44.244812,44.462960,31.981676,54.164615,14.860586,75.267359
ALL,ALL,M5,ADX,117,31.856109,29.918041,22.837139,40.018740,13.145643,65.137158
ALL,ALL,M5,CCI,117,-66.304179,-95.629436,-151.845283,37.496678,-336.490121,214.605235
ALL,ALL,M5,DI_PLUS,117,16.069201,14.476653,10.462157,20.348164,2.518833,37.300217
ALL,ALL,M5,DI_MINUS,117,23.609956,23.683720,16.263082,31.609770,4.570722,49.476245
ALL,ALL,M5,DI_GAP,117,15.898554,15.602306,8.211894,21.776603,0.221101,45.817215
ALL,ALL,M5,ATR,117,0.763801,0.688750,0.507500,0.892500,0.253750,1.889250
ALL,ALL,M5,ATR_PCT_PRICE,117,0.060284,0.053577,0.040504,0.071215,0.020214,0.152226
ALL,ALL,M5,EMA200_DIST_POINTS,117,276.020835,206.752970,114.822292,405.362581,8.079001,852.238770
ALL,ALL,M5,EMA200_DIST_ATR,117,-0.054880,-1.052651,-3.540463,2.685375,-12.415621,18.577412
ALL,ALL,M15,RSI,113,46.779479,46.931184,39.375257,54.322278,24.707685,80.216252
ALL,ALL,M15,ADX,113,27.656597,26.225780,20.370197,33.313413,14.667085,63.301964
ALL,ALL,M15,CCI,113,-43.237249,-48.190800,-161.392170,63.320207,-260.175523,234.045729
ALL,ALL,M15,DI_PLUS,113,16.135363,14.830393,11.253510,20.192390,3.714027,40.029783
ALL,ALL,M15,DI_MINUS,113,21.835032,21.125352,15.250742,28.228655,3.348029,48.973444
ALL,ALL,M15,DI_GAP,113,12.693132,11.002609,5.498703,18.079136,0.103239,40.828645
ALL,ALL,M15,ATR,113,1.245748,1.123500,0.868250,1.468000,0.387250,3.249250
ALL,ALL,M15,ATR_PCT_PRICE,113,0.098159,0.089596,0.069203,0.113456,0.030849,0.260483
ALL,ALL,M15,EMA200_DIST_POINTS,113,541.207925,465.053032,234.633148,766.227110,2.508310,1948.628792
ALL,ALL,M15,EMA200_DIST_ATR,113,0.716528,-0.651253,-3.632692,4.456866,-15.338324,21.324923
ALL,ALL,M30,RSI,109,48.350242,47.138244,41.540117,55.160408,27.052460,76.501805
ALL,ALL,M30,ADX,109,25.739834,23.751485,20.305347,28.106457,14.888144,56.682480
ALL,ALL,M30,CCI,109,-33.528713,-31.434682,-128.629875,54.021142,-292.262911,288.507713
ALL,ALL,M30,DI_PLUS,109,16.909179,16.467522,13.117257,19.488081,3.499200,40.333311
ALL,ALL,M30,DI_MINUS,109,19.484580,18.529787,14.015029,25.335943,6.762373,38.546113
ALL,ALL,M30,DI_GAP,109,10.342241,9.109020,4.040567,14.410572,0.051849,33.659110
ALL,ALL,M30,ATR,109,1.717411,1.572750,1.272500,2.001750,0.794500,3.596750
ALL,ALL,M30,ATR_PCT_PRICE,109,0.134991,0.125232,0.101074,0.154673,0.063239,0.288342
ALL,ALL,M30,EMA200_DIST_POINTS,109,721.809374,471.816443,180.823562,1099.026628,4.726197,2967.263382
ALL,ALL,M30,EMA200_DIST_ATR,109,1.921787,0.416561,-1.526460,5.662167,-12.147342,19.532756
ALL,ALL,H1,RSI,100,48.569342,46.499023,40.102227,57.218266,27.706321,73.442345
ALL,ALL,H1,ADX,100,28.256477,25.290929,20.863939,32.414712,15.554754,69.841048
ALL,ALL,H1,CCI,100,-25.154566,-28.785274,-94.844510,44.509585,-266.663551,232.654038
ALL,ALL,H1,DI_PLUS,100,16.711898,16.046289,12.914044,19.341356,6.269614,36.074772
ALL,ALL,H1,DI_MINUS,100,18.012181,18.257589,13.696860,22.606017,3.064842,38.266168
ALL,ALL,H1,DI_GAP,100,8.938793,7.885665,3.252362,13.729900,0.040589,30.357701
ALL,ALL,H1,ATR,100,2.510467,2.318750,1.728625,2.900750,1.294500,5.729750
ALL,ALL,H1,ATR_PCT_PRICE,100,0.196871,0.180715,0.136665,0.225543,0.104196,0.452119
ALL,ALL,H1,EMA200_DIST_POINTS,100,1121.320858,853.375132,361.821887,1404.068956,6.479519,4242.713057
ALL,ALL,H1,EMA200_DIST_ATR,100,3.602683,2.651351,0.036623,6.317568,-7.038708,22.563725
ALL,ALL,H4,RSI,27,59.567046,51.789434,49.551598,71.431221,43.281995,83.354391
ALL,ALL,H4,ADX,27,37.004679,29.049866,19.666885,62.012149,13.766711,69.247519
ALL,ALL,H4,CCI,27,-12.933408,-39.890181,-98.297103,75.536920,-143.526081,181.718010
ALL,ALL,H4,DI_PLUS,27,21.506464,18.516508,13.054720,27.444916,12.043889,40.398112
ALL,ALL,H4,DI_MINUS,27,16.820462,15.271490,11.637660,25.123754,2.328576,28.508363
ALL,ALL,H4,DI_GAP,27,13.214460,13.125341,5.329080,15.821158,0.776151,37.711293
ALL,ALL,H4,ATR,27,5.593120,5.660000,4.728875,5.983250,3.277250,8.173000
ALL,ALL,H4,ATR_PCT_PRICE,27,0.422321,0.427678,0.355106,0.455502,0.247184,0.611730
ALL,ALL,H4,EMA200_DIST_POINTS,27,5241.505505,4649.962391,4517.445990,6089.655162,3712.521758,6934.307265
ALL,ALL,H4,EMA200_DIST_ATR,27,9.984413,8.154891,7.477995,12.801287,5.915671,19.755280
ALL,BUY,M1,RSI,85,36.804159,37.088775,26.715533,47.392415,9.983406,71.011681
ALL,BUY,M1,ADX,85,32.478411,29.940364,24.460582,37.749918,14.706375,60.762087
ALL,BUY,M1,CCI,85,-69.680568,-117.226146,-176.440661,41.669810,-357.245136,208.352400
ALL,BUY,M1,DI_PLUS,85,16.460083,15.946995,10.239482,21.242019,3.678723,36.597623
ALL,BUY,M1,DI_MINUS,85,28.659271,27.840204,19.402938,39.834749,4.092758,58.259674
ALL,BUY,M1,DI_GAP,85,17.626059,16.007574,6.318885,28.317107,0.146697,42.359168
ALL,BUY,M1,ATR,85,0.338918,0.266500,0.190500,0.418000,0.099500,1.218250
ALL,BUY,M1,ATR_PCT_PRICE,85,0.026782,0.020898,0.014974,0.032381,0.008085,0.099186
ALL,BUY,M1,EMA200_DIST_POINTS,85,157.830962,131.329832,59.471791,247.494916,5.728277,559.729557
ALL,BUY,M1,EMA200_DIST_ATR,85,-3.518852,-3.764043,-6.202129,-0.758616,-18.455016,9.224671
ALL,BUY,M5,RSI,85,38.447392,37.146079,30.319721,46.462342,14.860586,62.897845
ALL,BUY,M5,ADX,85,31.330532,28.947278,22.837139,39.154649,13.908324,65.137158
ALL,BUY,M5,CCI,85,-127.118464,-125.659979,-162.272440,-85.230890,-336.490121,86.977865
ALL,BUY,M5,DI_PLUS,85,12.283401,12.421235,9.004212,15.305412,2.518833,25.349997
ALL,BUY,M5,DI_MINUS,85,27.974130,27.661613,22.059948,33.084825,10.485821,49.476245
ALL,BUY,M5,DI_GAP,85,16.367791,16.043493,8.278206,22.745299,0.221101,45.817215
