sep=,
TF,Feature,SingleStepN,Deep45N,SingleStepMean,Deep45Mean,DeepMinusSingle
M1,RSI,23,3,50.89432089,44.79870099,-6.09561990
M1,ATR,23,3,0.32786957,0.16991667,-0.15795290
M1,ADX,23,3,24.99752893,28.14059368,3.14306475
M1,CCI,23,3,9.53092726,34.96690006,25.43597280
M1,DI_Gap,23,3,5.87362578,6.59543158,0.72180580
M1,EMA200_Dist_ATR,23,3,0.67097847,-4.73884613,-5.40982460
M1,EMA_Compression,23,3,3.83363383,5.72619738,1.89256355
M5,RSI,23,3,51.02702446,42.83380416,-8.19322030
M5,ATR,23,3,0.74995652,0.64858333,-0.10137319
M5,ADX,23,3,33.54566298,32.17714852,-1.36851446
M5,CCI,23,3,-21.17435432,-91.10606296,-69.93170864
M5,DI_Gap,23,3,11.96919189,13.74786689,1.77867500
M5,EMA200_Dist_ATR,23,3,2.94603045,1.13891277,-1.80711768
M5,EMA_Compression,23,3,5.13651086,6.27055917,1.13404832
M15,RSI,21,3,53.48920746,48.17763910,-5.31156836
M15,ATR,21,3,1.31397619,1.04808333,-0.26589286
M15,ADX,21,3,26.79081228,28.35496352,1.56415124
M15,CCI,21,3,10.96735792,-80.87654974,-91.84390766
M15,DI_Gap,21,3,10.08744366,4.63702969,-5.45041397
M15,EMA200_Dist_ATR,21,3,3.18815348,3.91071321,0.72255973
M15,EMA_Compression,21,3,5.44288339,6.61761642,1.17473303
M30,RSI,21,2,55.14953130,52.84172347,-2.30780784
M30,ATR,21,2,1.89338095,2.18950000,0.29611905
M30,ADX,21,2,25.35779868,23.08584720,-2.27195149
M30,CCI,21,2,13.84180032,-33.99221911,-47.83401942
M30,DI_Gap,21,2,9.11798675,2.75199605,-6.36599070
M30,EMA200_Dist_ATR,21,2,4.09502981,6.58856146,2.49353166
M30,EMA_Compression,21,2,4.81027327,6.23377279,1.42349952
H1,RSI,19,2,54.64121918,59.43432605,4.79310687
H1,ATR,19,2,2.72002632,3.95475000,1.23472368
H1,ADX,19,2,30.31573108,31.34835301,1.03262193
H1,CCI,19,2,24.79106534,26.93185754,2.14079220
H1,DI_Gap,19,2,10.28478893,0.95720676,-9.32758217
H1,EMA200_Dist_ATR,19,2,4.80281262,9.09849719,4.29568457
H1,EMA_Compression,19,2,4.81973801,8.61720389,3.79746588
H4,RSI,5,1,57.87595741,75.13793766,17.26198025
H4,ATR,5,1,5.52850000,3.27725000,-2.25125000
H4,ADX,5,1,30.15364773,67.18478916,37.03114143
H4,CCI,5,1,-24.50615616,64.91414589,89.42030204
H4,DI_Gap,5,1,9.61019935,16.05452224,6.44432290
H4,EMA200_Dist_ATR,5,1,9.58876857,19.75528021,10.16651164
H4,EMA_Compression,5,1,8.93775278,16.37100591,7.43325313
